Model,sMAPE,MASE
ETS,8.945219059652251,0.8729655443749087
"SARIMA(1, 1, 1)Ã—(1, 1, 1, 4)",11.363149212474509,1.1238885763778488
Ridge Regression,12.680831946828421,1.120363957093407
Random Forest,14.438849462368042,1.283873435159699
Naive,14.815783087352708,1.4457390105663248
"ARIMA(1, 1, 0)",15.021009357205022,1.464665530866798
SMA-4,15.565870384476716,1.5142137464770917
STL+ARIMA,18.608891542061006,1.7261256049603972
Seasonal Naive,20.73916436722738,1.9452580935562538
XGBoost,26.991557934202152,2.1537829045411927
LightGBM,30.90342000696067,2.4073597668433644
