Year,Quarter,Loan_Count,Total_Sales,Avg_Loan,Std_Loan,Min_Loan,Max_Loan,Date,Time_Index,Year_Quarter,Sales_Lag_1,Count_Lag_1,Sales_Lag_2,Count_Lag_2,Sales_Lag_3,Count_Lag_3,Sales_Lag_4,Count_Lag_4,Sales_Lag_8,Count_Lag_8,Sales_RollMean_2,Sales_RollStd_2,Sales_RollMean_3,Sales_RollStd_3,Sales_RollMean_4,Sales_RollStd_4,Sales_ExpandMean,Sales_ExpandStd,Q1,Q2,Q3,Q4,QoQ_Growth,YoY_Growth,Sales_Momentum_2Q,Sales_Momentum_4Q,Avg_Loan_Change
2017,3,10538,12472433.29,1183.5674027329662,1279.2643496256283,51.5,13179.33,2017-09-01,34,2017-Q3,6247712.17,6915.0,3107649.32,3621.0,3987834.29,3474.0,7408148.98,4714.0,41333644.81,20149.0,4677680.744999999,2220359.7345876256,4447731.926666661,1619761.7271209485,5187836.1899999995,1984969.1813355244,41424349.839705884,30678539.50046628,0,0,1,0,0.9963200849567946,0.6836099440861945,9364783.969999999,5064284.309999999,0.3099784956800373
2017,4,10737,15759677.19,1467.7914864487286,1502.4863537835415,57.0,13771.0,2017-12-01,35,2017-Q4,12472433.29,10538.0,6247712.17,6915.0,3107649.32,3621.0,3987834.29,3474.0,31323725.97,14480.0,9360072.729999999,4401542.514947428,7275931.593333327,4766311.05658053,6453907.2675,4224694.469557061,40597152.224,30617645.071033314,0,0,0,1,0.26356075222591957,2.951938832944836,9511965.02,11771842.899999999,0.24014186522834513
2018,1,8339,17082039.37,2048.45177719151,1982.5712163560052,50.0,15000.0,2018-03-01,36,2018-Q1,15759677.19,10737.0,12472433.29,10538.0,6247712.17,6915.0,3107649.32,3621.0,11322403.08,11764.0,14116055.239999998,2324432.453104639,11493274.216666661,4830986.856077519,9396867.9925,5756616.387193014,39907222.361944444,30459683.18942118,1,0,0,0,0.08390794837086402,4.496771871930518,4609606.080000002,13974390.05,0.39560134808226
2018,2,11561,33794489.36,2923.1458662745436,2545.209319271997,55.0,20000.0,2018-06-01,37,2018-Q2,17082039.37,8339.0,15759677.19,10737.0,12472433.29,10538.0,6247712.17,6915.0,3402782.91,2367.0,16420858.28,935051.2646638643,15104716.61666666,2373572.6379571143,12890465.504999999,4833997.309388811,39290325.52432433,30267161.65867569,0,1,0,0,0.9783638608953749,4.409098313183016,18034812.17,27546777.189999998,0.4270025288475505
2018,3,9001,26094664.73,2899.0850716587047,2445.5386518818523,79.0,20000.0,2018-09-01,38,2018-Q3,33794489.36,11561.0,17082039.37,8339.0,15759677.19,10737.0,12472433.29,10538.0,7408148.98,4714.0,25438264.365,11817486.718170125,22212068.639999993,10052438.148781974,19777159.8025,9543730.892291075,39145698.25684211,29868653.035068702,0,0,1,0,-0.2278426091300466,1.0921871557270122,9012625.36,13622231.440000001,-0.00823113033579248
2018,4,8878,31107306.33,3503.8641957648115,3152.0169041438903,50.0,20000.0,2018-12-01,39,2018-Q4,26094664.73,9001.0,33794489.36,11561.0,17082039.37,8339.0,15759677.19,10737.0,3987834.29,3474.0,29944577.045,5444598.209820347,25657064.48666666,8364814.202765436,23182717.662499998,8434234.598127399,38811056.37153846,29547023.234355636,0,0,0,1,0.19209450099725411,0.9738542836231787,-2687183.030000001,15347629.139999999,0.20861034055826577
2019,1,6669,20738618.98,3109.704450442345,3060.957116330124,37.0,20000.0,2019-03-01,40,2019-Q1,31107306.33,8878.0,26094664.73,9001.0,33794489.36,11561.0,17082039.37,8339.0,3107649.32,3621.0,28600985.53,3544472.8670180244,30332153.473333325,3908000.9335448076,27019624.947499998,7353436.507436487,38618462.6205,29191179.81778844,1,0,0,0,-0.33332000013130025,0.21405989828250815,-5356045.75,3656579.6099999994,-0.11249287166976818
2019,2,7250,22540190.77,3108.9918303448276,2901.2002739854024,24.0,20000.0,2019-06-01,41,2019-Q2,20738618.98,6669.0,31107306.33,8878.0,26094664.73,9001.0,33794489.36,11561.0,6247712.17,6915.0,25922962.655,7331769.1371883005,25980196.679999992,5185291.365137081,27933769.849999998,5761130.405550248,38182368.87317073,28958921.64239623,0,1,0,0,0.0868703837867606,-0.33302170866120173,-8567115.559999999,-11254298.59,-0.0002291600725645715
2019,3,10361,38005961.04,3668.1749869703694,3176.458458356485,29.0,20000.0,2019-09-01,42,2019-Q3,22540190.77,7250.0,20738618.98,6669.0,31107306.33,8878.0,26094664.73,9001.0,12472433.29,10538.0,21639404.875,1273903.6295042408,24795372.026666656,5540018.1602434805,25120195.202499997,4569818.507642185,37809936.06119047,28705237.808376197,0,0,1,0,0.6861419420896941,0.4564648150587678,17267342.06,11911296.309999999,0.17985996333850807
2019,4,12540,62853938.74,5012.275816586922,4368.20531317257,40.0,30000.0,2019-12-01,43,2019-Q4,38005961.04,10361.0,22540190.77,7250.0,20738618.98,6669.0,31107306.33,8878.0,15759677.19,10737.0,30273075.905,10935951.034190377,27094923.59666666,9492073.99865788,28098019.279999997,8005692.745188009,37814494.7816279,28361465.857753564,0,0,0,1,0.6537915900573685,1.0205522803298286,40313747.97,31746632.410000004,0.3664222220561719
2020,1,9995,47470110.57,4749.385749874938,4625.1448555390825,29.0,30000.0,2020-03-01,44,2020-Q1,62853938.74,12540.0,38005961.04,10361.0,22540190.77,7250.0,20738618.98,6669.0,17082039.37,8339.0,50429949.89,17570173.530442122,41133363.51666666,20338019.902032375,36034677.3825,19486998.32031484,38383573.05340909,28282782.85766397,1,0,0,0,-0.2447551971824129,1.2889716338286283,9464149.530000001,26731491.59,-0.052449241887689624
2020,2,4558,16583921.32,3638.420649407635,3955.715810933545,70.0,30000.0,2020-06-01,45,2020-Q2,47470110.57,9995.0,62853938.74,12540.0,38005961.04,10361.0,22540190.77,7250.0,33794489.36,11561.0,55162024.655,10878009.219615636,49443336.78333333,12540961.494704593,42717550.28,16905481.15734839,38585496.10933334,27992332.573601715,0,1,0,0,-0.6506449822663642,-0.26425106649618646,-46270017.42,-5956269.449999999,-0.2339176388223586
2020,3,10023,52028393.18,5190.900247430909,4618.8585211998325,99.0,30000.0,2020-09-01,46,2020-Q3,16583921.32,4558.0,47470110.57,9995.0,62853938.74,12540.0,38005961.04,10361.0,26094664.73,9001.0,32027015.944999997,21839833.863686077,42302656.87666666,23563861.340330742,41228482.9175,19359384.622341838,38107201.00521739,27869001.535276305,0,0,1,0,2.1372793066290305,0.3689534945647568,4558282.609999999,14022432.14,0.4266905197660502
2020,4,5715,27013826.39,4726.828764654419,4634.606498958668,100.0,30000.0,2020-12-01,47,2020-Q4,52028393.18,10023.0,16583921.32,4558.0,47470110.57,9995.0,62853938.74,12540.0,31107306.33,8878.0,34306157.25,25063026.407781783,38694141.68999999,19283175.793826826,44734090.9525,19844844.691709034,38403396.58340426,27639107.569040433,0,0,0,1,-0.48078684082090273,-0.5702126719258644,10429905.07,-35840112.35,-0.08940096335046499
2021,1,9355,53519179.01,5720.917050774987,4797.138605387956,89.5,30000.0,2021-03-01,48,2021-Q1,27013826.39,5715.0,52028393.18,10023.0,16583921.32,4558.0,47470110.57,9995.0,20738618.98,6669.0,39521109.785,17687969.80565283,31875380.296666656,18215479.026068788,35774062.864999995,16792895.933715813,38166113.87104166,27392867.550047837,1,0,0,0,0.9811772770484588,0.127428994105248,1490785.8299999982,6049068.439999998,0.2103076577586256
2021,2,13136,75095088.31,5716.739365864799,4760.727551062878,139.0,30000.0,2021-06-01,49,2021-Q2,53519179.01,9355.0,27013826.39,5715.0,52028393.18,10023.0,16583921.32,4558.0,22540190.77,7250.0,40266502.699999996,18742114.575342644,44187132.85999999,14891187.055844124,37286329.975,18393367.186350808,38479441.731020406,27194614.248886976,0,1,0,0,0.4031435029294559,3.5281864802045506,48081261.92,58511166.99,-0.0007302474189206931
2021,3,12486,71483425.2,5725.08611244594,4623.032411783091,181.46,30000.0,2021-09-01,50,2021-Q3,75095088.31,13136.0,53519179.01,9355.0,27013826.39,5715.0,52028393.18,10023.0,38005961.04,10361.0,64307133.66,15256471.77629589,51876031.23666666,24082709.31412551,51914121.722500004,19663597.385682624,39211754.6626,27409275.050872833,0,0,1,0,-0.048094531763391735,0.3739310563117415,17964246.190000005,19455032.020000003,0.0014600537206541642
2021,4,13172,79064549.58,6002.471119040389,4653.165617709171,284.0,30000.0,2021-12-01,51,2021-Q4,71483425.2,12486.0,75095088.31,13136.0,53519179.01,9355.0,27013826.39,5715.0,62853938.74,12540.0,73289256.755,2553831.476442151,66699230.839999996,11556225.693804514,56777879.72750001,21971885.060552277,39844532.51627451,27507522.426697373,0,0,0,1,0.10605429662595389,1.92681786128855,3969461.269999996,52050723.19,0.04845080076462671
2022,1,11665,72958306.82,6254.46265066438,4845.046371828303,300.0,30000.0,2022-03-01,52,2022-Q1,79064549.58,13172.0,71483425.2,12486.0,75095088.31,13136.0,53519179.01,9355.0,47470110.57,9995.0,75273987.39,5360664.458116577,75214354.36333333,3791969.1467448142,69790560.525,11280788.02254293,40598763.613653846,27774236.293036476,1,0,0,0,-0.07723110790407417,0.36321797474448947,1474881.6199999899,19439127.809999995,0.04198129847299903
2022,2,16467,104993220.53,6375.977441549766,4738.09103981211,300.0,30000.0,2022-06-01,53,2022-Q2,72958306.82,11665.0,79064549.58,13172.0,71483425.2,12486.0,75095088.31,13136.0,16583921.32,4558.0,76011428.19999999,4317765.663167165,74502093.86666666,4019430.376352872,74650342.47749999,3295217.3882798874,41209321.03264151,27862713.21555454,0,1,0,0,0.43908521327167516,0.3981369872897349,25928670.950000003,29898132.22,0.01942849412850478
2022,3,16060,108537744.59,6758.2655410958905,4990.593387910353,85.0,30000.0,2022-09-01,54,2022-Q3,104993220.53,16467.0,72958306.82,11665.0,79064549.58,13172.0,71483425.2,12486.0,52028393.18,10023.0,88975763.675,22652104.71906687,85672025.64333333,17008908.814131115,82124875.5325,15594798.758990929,42390504.35666667,28931358.686516695,0,0,1,0,0.0337595517320779,0.5183623936084136,35579437.77000001,37054319.39,0.059957567769123754
2022,4,16582,125488197.89,7567.735972138464,5544.190659093478,67.0,50000.0,2022-12-01,55,2022-Q4,108537744.59,16060.0,104993220.53,16467.0,72958306.82,11665.0,79064549.58,13172.0,27013826.39,5715.0,106765482.56,2506356.9989043144,95496423.97999997,19598876.410177007,91388455.38,17988299.764993712,43593181.45181818,30017942.146535337,0,0,0,1,0.15617104781410496,0.5871613581131845,20494977.36,46423648.31,0.11977487805418674
2023,1,10653,76326940.11,7164.83057448606,5404.487312059234,54.0,40000.0,2023-03-01,56,2023-Q1,125488197.89,16582.0,108537744.59,16060.0,104993220.53,16467.0,72958306.82,11665.0,53519179.01,9355.0,117012971.24000001,11985780.472615752,113006387.67,10953885.268663809,102994367.4575,21930661.867077056,45055592.45964285,31693182.37051019,1,0,0,0,-0.3917600109541266,0.04617203217600663,-32210804.480000004,3368633.2900000066,-0.05323988563234083
2023,2,12607,101140848.68,8022.5944856032365,6047.383666277395,44.0,50000.0,2023-06-01,57,2023-Q2,76326940.11,10653.0,125488197.89,16582.0,108537744.59,16060.0,104993220.53,16467.0,75095088.31,13136.0,100907569.0,34762258.74789787,103450960.86333334,24972261.47427004,103836525.78,20404342.756205868,45604212.59385965,31680864.147467803,0,1,0,0,0.3251002664883327,-0.036691624759707664,-24347349.209999993,-3852371.849999994,0.11971865938765824
2023,3,13215,105230455.18,7962.955367385547,5834.523628026493,70.0,50000.0,2023-09-01,58,2023-Q3,101140848.68,12607.0,76326940.11,10653.0,125488197.89,16582.0,108537744.59,16060.0,71483425.2,12486.0,88733894.39500001,17546083.0175899,100985328.89333332,24580997.87296957,102873432.8175,20422456.185967706,46561740.802241385,32237349.110525075,0,0,1,0,0.040434765511402126,-0.030471329789404034,28903515.070000008,-3307289.4099999964,-0.007433894150416509
2023,4,11137,94828569.8,8514.731956541258,6657.510293629808,56.0,50000.0,2023-12-01,59,2023-Q4,105230455.18,13215.0,101140848.68,12607.0,76326940.11,10653.0,125488197.89,16582.0,79064549.58,13172.0,103185651.93,2891788.488533955,94232747.99000001,15641121.673582485,102046610.465,20182225.973648038,47556125.79169492,32858300.632182136,0,0,0,1,-0.09884862098341451,-0.24432280170981113,-6312278.88000001,-30659628.090000004,0.06929294008298248
2024,1,9916,92206339.03,9298.743347115773,7173.27725466575,55.0,60000.0,2024-03-01,60,2024-Q1,94828569.8,11137.0,105230455.18,13215.0,101140848.68,12607.0,76326940.11,10653.0,72958306.82,11665.0,100029512.49000001,7355243.689322974,100399957.88666666,5240371.574649788,94381703.4425,12774396.621596625,48343999.858500004,33145334.466029197,1,0,0,0,-0.027652328570708873,0.20804448464873748,-13024116.150000006,15879398.920000002,0.09207704888140555
2024,2,12131,115568136.23,9526.67844612975,7281.372006391788,49.5,60000.0,2024-06-01,61,2024-Q2,92206339.03,9916.0,94828569.8,11137.0,105230455.18,13215.0,101140848.68,12607.0,104993220.53,16467.0,93517454.41499999,1854197.1593021147,97421788.00333333,6888431.306164401,98351553.1725,5923808.767930695,49063054.59901639,33344300.859796096,0,1,0,0,0.2533643288060605,0.14264550612627902,20739566.430000007,14427287.549999997,0.02451246265278173
2024,3,12872,126500642.56,9827.582548166563,7246.565391508553,52.0,60000.0,2024-09-01,62,2024-Q3,115568136.23,12131.0,92206339.03,9916.0,94828569.8,11137.0,105230455.18,13215.0,108537744.59,16060.0,103887237.63,16519285.22082479,100867681.68666665,12798302.480729204,101958375.06,10675024.3901685,50135717.20596774,34131407.669169575,0,0,1,0,0.0945979288637353,0.20212957687597832,34294303.53,21270187.379999995,0.03158541602283815
2024,4,11373,111083720.78,9767.319157654094,7933.312362297115,53.0,68000.0,2024-12-01,63,2024-Q4,126500642.56,12872.0,115568136.23,12131.0,92206339.03,9916.0,94828569.8,11137.0,125488197.89,16582.0,121034389.39500001,7730449.361307584,111425039.27333333,17518525.992394336,107275921.905,16536622.03642625,51347858.87825397,35195575.481234305,0,0,0,1,-0.12187228039326092,0.1714161777856953,-4484415.450000003,16255150.980000004,-0.00613206658067833
2025,1,9539,94082928.49,9862.976044658768,7652.355820247579,54.0,120000.0,2025-03-01,64,2025-Q1,111083720.78,11373.0,126500642.56,12872.0,115568136.23,12131.0,92206339.03,9916.0,76326940.11,10653.0,118792181.67,10901409.935660396,117717499.85666667,7930018.429511074,111339709.65,14304834.609644024,52281231.72046875,35704649.65500642,1,0,0,0,-0.15304485815405733,0.020352065592685875,-32417714.070000008,1876589.4599999934,0.00979356622433225
2025,2,11761,123285801.3,10482.595127965309,8185.823648752676,101.0,80000.0,2025-06-01,65,2025-Q2,94082928.49,9539.0,111083720.78,11373.0,126500642.56,12872.0,115568136.23,12131.0,101140848.68,12607.0,102583324.63499999,12021375.513802858,110555763.94333333,16215304.505222972,111808857.015,13474854.450040322,52924334.74769231,35802035.01008217,0,1,0,0,0.31039502361051574,0.06678021573905579,12202080.519999996,7717665.069999993,0.06282273022878249
2025,3,13755,149584441.28,10874.91394256634,8358.659890696854,135.86,80000.0,2025-09-01,66,2025-Q3,123285801.3,11761.0,94082928.49,9539.0,111083720.78,11373.0,126500642.56,12872.0,105230455.18,13215.0,108684364.895,20649549.39407917,109484150.18999998,14667000.87419211,113738273.2825,14690275.567199804,53990417.57424243,36566064.620605804,0,0,1,0,0.21331442633856668,0.18247969538218922,55501512.79000001,23083798.72,0.03742573378174341
